probe;bTau
8;0.2120
8;0.1297
8;0.2502
8;0.2960
8;0.1944
8;0.1252
8;0.1356
8;0.0829
8;0.2288
8;0.1989
8;0.2991
8;0.2838
8;0.2203
8;0.2239
8;0.1694
8;0.0868
8;0.0367
8;0.2479
8;0.1733
8;0.1708
9;0.2541
9;0.1015
9;0.1357
9;0.4546
9;0.2218
9;0.4059
9;0.2996
9;0.2534
9;0.2561
9;0.1270
9;0.3091
9;0.2981
9;0.2342
9;0.3872
9;0.2485
9;0.2072
9;0.5100
9;0.2463
9;0.2190
9;0.3071
10;0.1910
10;0.2153
10;0.3107
10;0.2285
10;0.2104
10;0.2734
10;0.2202
10;0.2162
10;0.2444
10;0.2235
10;0.2082
10;0.2423
10;0.2152
10;0.2865
10;0.2674
10;0.3614
10;0.2157
10;0.2334
10;0.1387
10;0.1901
11;-0.0431
11;-0.0225
11;0.0355
11;-0.0572
11;0.0011
11;0.0751
11;0.0846
11;-0.0195
11;-0.0158
11;0.0296
11;-0.0461
11;0.0263
11;-0.0075
11;0.0033
11;-0.0181
11;0.0433
11;0.0478
11;-0.0247
11;-0.0104
11;-0.0101
12;0.0749
12;0.0326
12;-0.0046
12;0.2139
12;0.2425
12;0.1511
12;0.3243
12;0.3374
12;0.1551
12;0.3683
12;0.0889
12;0.0228
12;0.0809
12;0.3483
12;0.2859
12;0.1088
12;0.2048
12;0.2521
12;0.2113
12;0.1043
13;0.2209
13;0.1880
13;0.2385
13;0.2319
13;0.3517
13;0.2206
13;0.2476
13;0.0839
13;0.1810
13;0.1548
13;0.0904
13;-0.0084
13;0.1738
13;0.2605
13;0.2129
13;0.2838
13;0.2549
13;0.1904
13;0.2546
13;0.1477
14;0.0438
14;0.0906
14;0.1836
14;0.1501
14;0.1516
14;0.0748
14;0.1032
14;0.0780
14;0.0970
14;0.0316
14;0.0515
14;0.1406
14;0.0553
14;0.0801
14;0.0900
14;0.0979
14;0.1670
14;0.1132
14;0.0719
14;0.0162
15;-0.0473
15;0.0057
15;0.1015
15;0.0123
15;-0.0025
15;-0.0367
15;-0.1384
15;-0.1134
15;-0.0430
15;-0.1035
15;-0.0756
15;0.0049
15;-0.0481
15;0.0299
15;0.1746
15;0.1641
15;0.2182
15;0.0162
15;0.1400
15;0.0870
16;0.1327
16;0.0274
16;0.2889
16;-0.0889
16;0.1650
16;0.2445
16;0.0548
16;0.0136
16;-0.0314
16;0.0387
16;-0.0292
16;-0.0420
16;0.1437
16;-0.0815
16;-0.0976
16;0.0156
16;-0.0778
16;0.0068
16;0.1179
16;0.0494
17;0.1750
17;0.0626
17;0.1605
17;0.1586
17;0.2422
17;0.3216
17;0.2722
17;0.1064
17;0.2066
17;0.1928
17;0.1263
17;0.1980
17;0.2530
17;0.2176
17;0.0436
17;0.2666
17;0.3300
17;0.0457
17;0.2350
17;0.1877
