probe;bTau
8;-0.0690
8;0.0285
8;0.0289
8;-0.0053
8;-0.0967
8;0.0654
8;-0.1047
8;0.0106
8;-0.1674
8;-0.0120
8;0.0376
8;-0.0674
8;-0.1230
8;-0.1022
8;-0.0425
8;0.0330
8;0.0068
8;-0.0870
8;0.0804
8;0.0804
9;0.0236
9;-0.0140
9;-0.0372
9;0.0594
9;-0.0103
9;0.2324
9;0.1426
9;-0.1485
9;-0.0880
9;0.0207
9;-0.0824
9;-0.1152
9;0.1373
9;0.0636
9;0.0565
9;-0.1404
9;0.3109
9;-0.1333
9;0.0425
9;-0.1403
10;-0.0286
10;0.0835
10;-0.1831
10;-0.1274
10;-0.0539
10;-0.0886
10;-0.0371
10;-0.0269
10;-0.0817
10;-0.0290
10;-0.0250
10;-0.1500
10;-0.0332
10;0.0184
10;-0.1914
10;-0.2953
10;-0.0690
10;-0.1055
10;-0.0737
10;-0.0865
11;0.0140
11;0.1649
11;0.0994
11;0.1663
11;0.0937
11;-0.0208
11;0.2088
11;0.0771
11;0.1531
11;0.1028
11;0.1041
11;0.1078
11;0.1755
11;0.0900
11;0.0465
11;0.0170
11;-0.0298
11;0.0900
11;0.0347
11;0.1380
12;0.0431
12;0.0574
12;0.1379
12;-0.0702
12;0.0223
12;0.0473
12;-0.0149
12;-0.0610
12;0.0511
12;-0.1726
12;0.0174
12;0.0369
12;0.0477
12;0.0691
12;-0.0232
12;0.0393
12;-0.0695
12;-0.0039
12;-0.0711
12;0.0210
13;-0.0608
13;0.0743
13;-0.0834
13;0.0168
13;-0.1966
13;-0.0004
13;-0.0276
13;0.0712
13;-0.0516
13;0.0512
13;0.0441
13;0.1067
13;-0.1091
13;-0.0625
13;0.0518
13;-0.0875
13;-0.0898
13;0.0005
13;-0.1235
13;0.0603
14;0.0548
14;0.0319
14;0.0133
14;0.1132
14;0.0681
14;0.0227
14;0.0057
14;0.0305
14;0.0965
14;0.0765
14;0.0811
14;0.0420
14;0.0330
14;0.0797
14;0.0361
14;0.0147
14;0.0002
14;0.0365
14;0.0739
14;0.0776
15;0.1547
15;0.1414
15;0.1248
15;0.2921
15;0.1126
15;0.2159
15;0.2991
15;0.2183
15;0.2617
15;0.2577
15;0.1522
15;0.1795
15;0.2006
15;0.1319
15;0.0357
15;-0.0200
15;0.1465
15;0.0881
15;0.1452
15;0.0554
16;0.2732
16;0.2269
16;0.0727
16;0.2135
16;0.0918
16;0.0728
16;0.2227
16;0.2052
16;0.2604
16;0.1851
16;0.3127
16;0.2106
16;0.0909
16;0.2309
16;0.2120
16;0.1728
16;0.2355
16;0.2423
16;0.0790
16;0.1330
17;0.0485
17;0.1178
17;0.0919
17;0.0704
17;0.0078
17;0.0759
17;0.0670
17;0.0658
17;-0.0080
17;0.0789
17;0.1421
17;0.1751
17;0.1729
17;0.1286
17;0.1170
17;0.2145
17;0.2233
17;0.1954
17;0.0656
17;0.1935
