probe;bTau
8;0.0780
8;0.1421
8;0.0646
8;0.1491
8;-0.0008
8;0.0712
8;0.1121
8;0.0814
8;0.1824
8;0.1132
8;0.0857
8;0.1502
8;0.1546
8;0.1053
8;0.1934
8;0.0973
8;0.1225
8;0.1371
8;0.1099
8;0.1099
9;0.2656
9;0.0437
9;0.1414
9;0.1160
9;0.3099
9;0.2215
9;0.1654
9;0.1424
9;0.3473
9;0.0064
9;0.1839
9;0.1108
9;0.1507
9;0.2269
9;0.2079
9;0.1455
9;0.2322
9;0.0981
9;0.2401
9;0.1901
10;0.0735
10;0.2662
10;0.2191
10;0.1980
10;0.2304
10;0.2407
10;0.2369
10;0.3182
10;0.1983
10;0.1635
10;0.1842
10;0.1590
10;0.3251
10;0.4282
10;0.2743
10;0.1370
10;0.0981
10;0.2656
10;0.2110
10;0.1228
11;0.0355
11;0.0111
11;-0.0315
11;-0.0158
11;-0.1319
11;-0.1369
11;0.0556
11;0.0136
11;-0.1010
11;0.0205
11;-0.0731
11;-0.1092
11;-0.1284
11;-0.0700
11;0.0010
11;0.0282
11;-0.0076
11;-0.1211
11;0.0035
11;-0.1343
12;-0.1313
12;-0.0274
12;-0.0619
12;-0.0353
12;-0.1062
12;-0.0404
12;0.1542
12;-0.1761
12;-0.0764
12;-0.1347
12;-0.1731
12;-0.1569
12;-0.0339
12;-0.1835
12;-0.0501
12;-0.0573
12;0.0182
12;-0.0868
12;-0.0947
12;-0.1105
13;-0.1012
13;0.0858
13;-0.0680
13;0.1127
13;-0.0624
13;0.0214
13;0.0558
13;0.0572
13;-0.0325
13;0.0828
13;-0.0002
13;-0.0476
13;0.0183
13;0.0907
13;0.0208
13;0.1084
13;0.0025
13;-0.0244
13;0.1058
13;0.1613
12;-0.1120
12;-0.2416
12;-0.0596
12;-0.1902
12;-0.0813
12;-0.2100
12;-0.2017
12;-0.1746
12;-0.1237
12;-0.0592
12;-0.2499
12;-0.1871
12;-0.0715
12;-0.1232
12;-0.1219
12;-0.1309
12;-0.0653
12;-0.1682
12;-0.0630
12;-0.1679
13;0.0409
13;-0.0907
13;-0.1188
13;0.0225
13;0.0895
13;0.0130
13;0.0334
13;-0.0041
13;0.0045
13;-0.0605
13;0.0149
13;-0.0758
13;-0.0123
13;-0.0863
13;0.0038
13;0.0530
13;-0.1354
13;0.0048
13;0.0287
13;0.0869
16;-0.0584
16;-0.1969
16;-0.2751
16;-0.2323
16;-0.0063
16;-0.1597
16;-0.1764
16;-0.1648
16;-0.3026
16;-0.2291
16;-0.0954
16;-0.1602
16;-0.1229
16;-0.2161
16;-0.2596
16;-0.0740
16;-0.1468
16;-0.0883
16;-0.1348
16;-0.0997
17;-0.0012
17;0.0100
17;0.0112
17;0.0252
17;0.0520
17;0.0671
17;0.0812
17;0.0932
17;0.0853
17;0.0504
17;0.0026
17;0.0488
17;0.0479
17;0.0462
17;-0.0242
17;0.0921
17;0.0553
17;0.0439
17;0.0933
17;0.0970
