probe;bTau
8;-0.0857
8;-0.1053
8;-0.1719
8;-0.0233
8;0.1397
8;-0.1806
8;-0.0533
8;-0.0951
8;-0.0776
8;-0.1588
8;-0.1381
8;-0.0457
8;-0.0860
8;-0.1808
8;-0.1859
8;-0.1269
8;-0.1930
8;-0.1501
8;-0.1493
8;-0.1493
9;-0.2106
9;-0.0794
9;-0.1376
9;-0.0772
9;-0.1362
9;-0.2745
9;-0.1720
9;-0.2436
9;-0.2966
9;-0.0431
9;-0.1390
9;-0.0842
9;0.0912
9;-0.1807
9;-0.2914
9;-0.2106
9;-0.1970
9;-0.2115
9;-0.2093
9;-0.1118
10;0.0260
10;-0.0946
10;-0.0298
10;-0.0944
10;-0.2595
10;-0.2305
10;-0.1739
10;-0.3102
10;-0.2040
10;-0.0763
10;-0.2297
10;-0.0830
10;-0.1403
10;-0.1130
10;-0.1386
10;-0.2378
10;-0.1340
10;-0.2630
10;-0.1715
10;-0.0842
11;0.0970
11;-0.0106
11;0.1115
11;0.0131
11;0.1114
11;0.1609
11;0.1650
11;-0.0764
11;0.0318
11;-0.0127
11;0.0716
11;0.1349
11;0.1075
11;0.0220
11;-0.0542
11;0.0230
11;0.0905
11;0.0403
11;-0.0287
11;0.1548
12;0.0838
12;-0.0290
12;0.0251
12;0.0515
12;0.0397
12;0.0633
12;-0.0296
12;0.1751
12;0.1772
12;0.2018
12;0.2202
12;0.1280
12;0.0660
12;0.0730
12;0.0348
12;0.1331
12;0.0370
12;0.1032
12;0.0615
12;0.2248
13;-0.0573
13;-0.0782
13;-0.0172
13;0.0465
13;0.0288
13;-0.0403
13;0.0131
13;-0.0859
13;-0.0581
13;-0.0568
13;0.1115
13;0.0320
13;-0.0687
13;-0.1154
13;-0.0097
13;-0.0726
13;0.0172
13;-0.0657
13;-0.1338
13;-0.1110
12;0.1725
12;0.1573
12;0.1966
12;0.1465
12;0.2602
12;0.2619
12;0.3407
12;0.2068
12;0.3033
12;0.0106
12;0.1480
12;0.1459
12;0.1074
12;0.2575
12;0.0478
12;0.1668
12;0.0721
12;0.2701
12;0.1124
12;0.1021
13;-0.0599
13;0.2413
13;0.1328
13;0.0283
13;0.0624
13;-0.0138
13;-0.0294
13;-0.0196
13;0.0420
13;0.0457
13;-0.1039
13;0.0057
13;0.1313
13;0.0966
13;-0.0405
13;-0.0728
13;0.1026
13;-0.0137
13;-0.0236
13;-0.1246
16;0.1810
16;0.4098
16;0.4163
16;0.3947
16;0.2972
16;0.3761
16;0.3520
16;0.3857
16;0.4084
16;0.3486
16;0.2653
16;0.3209
16;0.2496
16;0.3818
16;0.3445
16;0.1841
16;0.2941
16;0.1937
16;0.2213
16;0.2166
17;0.0107
17;-0.0524
17;0.0184
17;-0.0660
17;-0.0380
17;-0.0998
17;-0.0601
17;0.0591
17;-0.0323
17;-0.0319
17;0.0127
17;-0.0454
17;-0.1030
17;-0.0181
17;0.0264
17;-0.0594
17;-0.0156
17;0.0121
17;0.0067
17;-0.0628
